director,title,star,writer
Les Mayfield,Encino Man,Sean Astin,George Zaloom
Ernest R. Dickerson,Juice,Omar Epps,Ernest R. Dickerson
Jean-Jacques Annaud,The Lover,Jane March,Marguerite Duras
Ron Howard,Far and Away,Tom Cruise,Bob Dolman
Richard Donner,Lethal Weapon 3,Mel Gibson,Jeffrey Boam
Roman Polanski,Luna amarga,Hugh Grant,Pascal Bruckner
Brett Leonard,The Lawnmower Man,Jeff Fahey,Stephen King
Katt Shea,Poison Ivy,Drew Barrymore,Melissa Goddard
Curtis Hanson,The Hand That Rocks the Cradle,Annabella Sciorra,Amanda Silver
Sidney J. Furie,Ladybugs,Rodney Dangerfield,Curtis Burch
Barbet Schroeder,Single White Female,Bridget Fonda,John Lutz
Abel Ferrara,Bad Lieutenant,Harvey Keitel,ZoÎ Lund
Jon Turteltaub,3 Ninjas,Victor Wong,Kenny Kim
Phil Alden Robinson,Sneakers,Robert Redford,Phil Alden Robinson
Reginald Hudlin,Boomerang,Eddie Murphy,Eddie Murphy
Robert Altman,The Player,Tim Robbins,Michael Tolkin
Barry Levinson,Toys,Robin Williams,Valerie Curtin
Ridley Scott,1492: Conquista del ParaÌso,GÈrard Depardieu,Rose Bosch
RÈmy Belvaux,Man Bites Dog,BenoÓt Poelvoorde,RÈmy Belvaux
Danny DeVito,Hoffa,Jack Nicholson,David Mamet
Kevin Hooks,Passenger 57,Wesley Snipes,Stewart Raffill
James Ivory,Howards End,Anthony Hopkins,E.M. Forster
Alfonso Arau,Como agua para chocolate,Marco Leonardi,Laura Esquivel
Geoffrey Wright,Romper Stomper,Russell Crowe,Geoffrey Wright
Louis Malle,Damage,Jeremy Irons,David Hare
Robert Rodriguez,El Mariachi,Carlos Gallardo,Robert Rodriguez
Baz Luhrmann,Strictly Ballroom,Paul Mercurio,Baz Luhrmann
John Landis,Innocent Blood,Anne Parillaud,Michael Wolk
Edward James Olmos,American Me,Edward James Olmos,Floyd Mutrux
Ralph Bakshi,Cool World,Gabriel Byrne,Michael Grais
Randal Kleiser,Honey I Blew Up the Kid,Rick Moranis,Stuart Gordon
Sally Potter,Orlando,Tilda Swinton,Sally Potter
Steve Miner,Forever Young,Mel Gibson,J.J. Abrams
Paul Michael Glaser,The Cutting Edge,D.B. Sweeney,Tony Gilroy
Richard Donner,Radio Flyer,Lorraine Bracco,David Mickey Evans
Stuart Gordon,Fortress,Christopher Lambert,Troy Neighbors
Greg Beeman,Mom and Dad Save the World,Teri Garr,Chris Matheson
Christopher Cain,Pure Country,George Strait,Rex McGee
Brian De Palma,Raising Cain,John Lithgow,Brian De Palma
Phil Roman,The Tom and Jerry Movie,Richard Kind,Dennis Marks
Aaron Norris,Sidekicks,Chuck Norris,Lou Illar
Sidney Lumet,A Stranger Among Us,Melanie Griffith,Robert J. Avrech
John G. Avildsen,The Power of One,Stephen Dorff,Bryce Courtenay
Jonathan Kaplan,Unlawful Entry,Kurt Russell,George Putnam
John McTiernan,Medicine Man,Sean Connery,Tom Schulman
Peter Hyams,Stay Tuned,John Ritter,Tom S. Parker
George Miller,Lorenzo's Oil,Nick Nolte,George Miller
Tony Maylam,Split Second,Rutger Hauer,Gary Scott Thompson
Alan J. Pakula,Consenting Adults,Kevin Kline,Matthew Chapman
Chris Menges,CrissCross,Goldie Hawn,Scott Sommer
Dwight H. Little,Rapid Fire,Brandon Lee,Cindy Cirile
Peter Bogdanovich,Noises Off...,Michael Caine,Michael Frayn
Stephen Frears,Hero,Dustin Hoffman,Laura Ziskin
Roland JoffÈ,City of Joy,Patrick Swayze,Dominique Lapierre
Stanley Tong,Supercop,Jackie Chan,Edward Tang
Michael Apted,Thunderheart,Val Kilmer,John Fusco
Andrew Bergman,Honeymoon in Vegas,James Caan,Andrew Bergman
Brian Henson,The Muppet Christmas Carol,Michael Caine,Charles Dickens
David Price,Children of the Corn II: The Final Sacrifice,Terence Knox,Stephen King
Roger Spottiswoode,Stop! Or My Mom Will Shoot,Sylvester Stallone,Blake Snyder
Kenneth Branagh,Peter's Friends,Hugh Laurie,Rita Rudner
Arthur Hiller,The Babe,John Goodman,John Fusco
Dale Launer,Love Potion No. 9,Tate Donovan,Dale Launer
Walter Hill,Trespass,Bill Paxton,Bob Gale
Woody Allen,Husbands and Wives,Woody Allen,Woody Allen
Carl Franklin,One False Move,Bill Paxton,Billy Bob Thornton
Bruce Robinson,Jennifer 8,Andy Garcia,Bruce Robinson
Rowdy Herrington,Gladiator,Cuba Gooding Jr.,Djordje Milicevic
John Carpenter,Memoirs of an Invisible Man,Chevy Chase,H.F. Saint
Peter MacDonald,Mo' Money,Damon Wayans,Damon Wayans
Manny Coto,Dr. Giggles,Larry Drake,Manny Coto
Frank Oz,HouseSitter,Steve Martin,Mark Stein
Randall Miller,Class Act,Christopher Reid,Michael Swerdlick
Bruce A. Evans,Kuffs,Christian Slater,Bruce A. Evans
Stephen Milburn Anderson,South Central,Byron Minns,Stephen Milburn Anderson
Phil Joanou,Final Analysis,Richard Gere,Robert Berger
Arne Glimcher,The Mambo Kings,Armand Assante,Oscar Hijuelos
RÈgis Wargnier,Indochine,Catherine Deneuve,Erik Orsenna
Geoff Murphy,Freejack,Emilio Estevez,Robert Sheckley
David Seltzer,Shining Through,Michael Douglas,Susan Isaacs
Bill Duke,Deep Cover,Laurence Fishburne,Michael Tolkin
Craig Bolotin,That Night,C. Thomas Howell,Alice McDermott
Fernando Trueba,Belle Epoque,Fernando Fern·n GÛmez,Rafael Azcona
Jonathan Lynn,The Distinguished Gentleman,Eddie Murphy,Marty Kaplan
John Glen,Christopher Columbus: The Discovery,Marlon Brando,Mario Puzo
Albert Pyun,Nemesis,Olivier Gruner,Rebecca Charles
Ringo Lam,Twin Dragons,Jackie Chan,Barry Wong
Richard Pearce,Leap of Faith,Steve Martin,Janus Cercone
Michael Ritchie,Diggstown,James Woods,Leonard Wise
Tim Robbins,Bob Roberts,Tim Robbins,Tim Robbins
Joan Micklin Silver,Big Girls Don't Cry... They Get Even,Griffin Dunne,Frank Mugavero
Keith Gordon,A Midnight Clear,Peter Berg,William Wharton
Ry˚ Murakami,Tokyo Decadence,Miho Nikaido,Ry˚ Murakami
Carroll Ballard,Wind,Matthew Modine,Jeff Benjamin
Jonathan Kaplan,Love Field,Michelle Pfeiffer,Don Roos
Roger Donaldson,White Sands,Willem Dafoe,Daniel Pyne
Mike Newell,Into the West,Gabriel Byrne,Jim Sheridan
Fred Schepisi,Mr. Baseball,Tom Selleck,Theo Pelletier
Allison Anders,"Gas, Food Lodging",Brooke Adams,Richard Peck
Roeland Kerbosch,For a Lost Soldier,Maarten Smit,Don Bloch
Irwin Winkler,Night and the City,Robert De Niro,Gerald Kersh
Barnet Kellman,Straight Talk,Dolly Parton,Craig Bolotin
Anthony Drazan,Zebrahead,Michael Rapaport,Anthony Drazan
Stephen Gyllenhaal,Waterland,Jeremy Irons,Graham Swift
Gillies MacKinnon,The Playboys,Albert Finney,Shane Connaughton
Nora Ephron,This Is My Life,Julie Kavner,Meg Wolitzer
Paul Schrader,Light Sleeper,Willem Dafoe,Paul Schrader
Carl Schenkel,Juego a muerte,Christopher Lambert,Brad Mirman
Bruce W. Smith,BÈbÈ's Kids,Faizon Love,Robin Harris
Norman RenÈ,Prelude to a Kiss,Meg Ryan,Craig Lucas
Jean-Claude Lauzon,LÈolo,Maxime Collin,Jean-Claude Lauzon
Eugene Levy,Once Upon a Crime...,John Candy,Rodolfo Sonego
Barry Primus,Mistress,Robert Wuhl,Barry Primus
Billy Crystal,Mr. Saturday Night,Billy Crystal,Billy Crystal
Bob Rafelson,Man Trouble,Jack Nicholson,Carole Eastman
Martin Bell,American Heart,Jeff Bridges,Peter Silverman
Neal Jimenez,The Waterdance,Eric Stoltz,Neal Jimenez
John Glen,Aces: Iron Eagle III,Louis Gossett Jr.,Kevin Alyn Elders
Lizzie Borden,Love Crimes,Sean Young,Allan Moyle
Ted Kotcheff,Folks!,Tom Selleck,Robert Klane
John Sayles,Passion Fish,Mary McDonnell,John Sayles
Alexandre Rockwell,In the Soup,Steve Buscemi,Sollace Mitchell
Howard Franklin,The Public Eye,Joe Pesci,Howard Franklin
Howard Deutch,Article 99,Ray Liotta,Ron Cutler
Mark Frost,Storyville,James Spader,Frank Galbally
Dennis Dugan,Brain Donors,John Turturro,Pat Proft
Mark Joffe,The Efficiency Expert,Anthony Hopkins,Max Dann
Hal Hartley,Simple Men,Robert John Burke,Hal Hartley
Francis Veber,Out on a Limb,Matthew Broderick,Daniel Goldin
Charlie Peters,Passed Away,Bob Hoskins,Charlie Peters
…ric Rohmer,A Tale of Winter,Charlotte VÈry,…ric Rohmer
Bille August,The Best Intentions,Samuel Frˆler,Ingmar Bergman
Tamra Davis,Guncrazy,Drew Barrymore,Matthew Bright
Christopher Crowe,Whispers in the Dark,Annabella Sciorra,Christopher Crowe
Colin Nutley,House of Angels,Helena Bergstrˆm,Colin Nutley
Shin'ya Tsukamoto,Tetsuo II: Body Hammer,TomorÙ Taguchi,Shin'ya Tsukamoto
Ang Lee,Pushing Hands,Bozhao Wang,Ang Lee
Peter Yates,Year of the Comet,Penelope Ann Miller,William Goldman
Terence Davies,The Long Day Closes,Leigh McCormack,Terence Davies
Gianni Amelio,The Stolen Children,Enrico Lo Verso,Gianni Amelio
Mark Herman,Blame It on the Bellboy,Bronson Pinchot,Mark Herman
Jacques Dorfmann,Shadow of the Wolf,Lou Diamond Phillips,Jacques Dorfmann
Matthew Meshekoff,The Opposite Sex and How to Live with Them,Arye Gross,Noah Stern
Andy Wolk,Traces of Red,Jim Belushi,Jim Piddock
Bruce Beresford,Rich in Love,Albert Finney,Josephine Humphreys
TemÌstocles LÛpez,Chain of Desire,Linda Fiorentino,TemÌstocles LÛpez
Claude Sautet,Un Coeur en Hiver,Daniel Auteuil,Claude Sautet
Leslie Harris,Just Another Girl on the I.R.T.,Ariyan A. Johnson,Leslie Harris
Cyril Collard,Savage Nights,Cyril Collard,Cyril Collard
Ming-liang Tsai,Rebels of the Neon God,Chao-jung Chen,Ming-liang Tsai
Edward Zwick,Leaving Normal,Christine Lahti,Ed Solomon
Gregg Araki,The Living End,Mike Dytri,Gregg Araki
Yimou Zhang,The Story of Qiu Ju,Li Gong,Yuan Bin Chen
Mike Binder,Crossing the Bridge,Josh Charles,Mike Binder
Darrell Roodt,Sarafina!,Whoopi Goldberg,Mbongeni Ngema
John Mackenzie,Ruby,Danny Aiello,Stephen Davis
Vincent Ward,Map of the Human Heart,Jason Scott Lee,Louis Nowra
Agnieszka Holland,"Olivier, Olivier",Brigitte Ro¸an,Agnieszka Holland
Charles Martin Smith,Fifty/Fifty,Peter Weller,Dennis Shryack
Graeme Clifford,Ruby Cairo,Andie MacDowell,Robert Dillon
Allan Moyle,The Gun in Betty Lou's Handbag,Penelope Ann Miller,Grace Cary Bickley
Beeban Kidron,Used People,Shirley MacLaine,Todd Graff
Richard Danus,No Place to Hide,Kris Kristofferson,Richard Danus
Alan Rudolph,Equinox,Matthew Modine,Alan Rudolph
Arthur Allan Seidelman,Rescue Me,Michael Dudikoff,Mike Snyder
Fritz Kiersch,Into the Sun,Anthony Michael Hall,John Brancato
Jon Acevski,Freddie as F.R.O.7.,Ben Kingsley,Jon Acevski
Abbe Wool,Roadside Prophets,John Doe,Abbe Wool
Adolfo Aristarain,A Place in the World,JosÈ Sacrist·n,Adolfo Aristarain
Nicole Conn,Claire of the Moon,Trisha Todd,Nicole Conn
Clarence Yiu-leung Fok,Naked Killer,Chingmy Yau,Jing Wong
John Turturro,Mac,John Turturro,John Turturro
Mukul Anand,Khuda Gawah,Amitabh Bachchan,Rajkumar Bedi
Stacy Cochran,My New Gun,Diane Lane,Stacy Cochran
Joel Hershman,Hold Me Thrill Me Kiss Me,Max Parrish,Joel Hershman
Tom Kalin,Swoon,Daniel Schlachet,Tom Kalin
Nick Gomez,Laws of Gravity,Peter Greene,Nick Gomez
Kenny Ortega,Hocus Pocus,Bette Midler,David Kirschner
George P. Cosmatos,Tombstone,Kurt Russell,Kevin Jarre
Steven Spielberg,Schindler's List,Liam Neeson,Thomas Keneally
David Mickey Evans,The Sandlot,Tom Guiry,David Mickey Evans
Steven Spielberg,Jurassic Park,Sam Neill,Michael Crichton
Henry Selick,The Nightmare Before Christmas,Danny Elfman,Tim Burton
Richard Linklater,Dazed and Confused,Jason London,Richard Linklater
Joel Schumacher,Un dÌa de furia,Michael Douglas,Ebbe Roe Smith
Sydney Pollack,The Firm,Tom Cruise,John Grisham
Tony Scott,True Romance,Christian Slater,Quentin Tarantino
Barry Sonnenfeld,Addams Family Values,Anjelica Huston,Charles Addams
Robert De Niro,A Bronx Tale,Robert De Niro,Chazz Palminteri
Lasse Hallstrˆm,What's Eating Gilbert Grape,Johnny Depp,Peter Hedges
Agnieszka Holland,The Secret Garden,Kate Maberly,Frances Hodgson Burnett
Harold Ramis,Groundhog Day,Bill Murray,Danny Rubin
Mel Brooks,Robin Hood: Men in Tights,Cary Elwes,J.D. Shapiro
Chris Columbus,Mrs. Doubtfire,Robin Williams,Anne Fine
Nora Ephron,Sleepless in Seattle,Tom Hanks,Jeff Arch
John McTiernan,Last Action Hero,Arnold Schwarzenegger,Zak Penn
Taylor Hackford,"Blood In, Blood Out",Damian Chapa,Ross Thomas
Renny Harlin,Cliffhanger,Sylvester Stallone,John Long
Andrew Davis,The Fugitive,Harrison Ford,Jeb Stuart
Simon Wincer,Free Willy,Jason James Richter,Keith Walker
Adrian Lyne,Indecent Proposal,Robert Redford,Jack Engelhard
Jonathan Demme,Philadelphia,Tom Hanks,Ron Nyswaner
Duwayne Dunham,Homeward Bound: The Incredible Journey,Michael J. Fox,Sheila Burnford
Jane Campion,El piano,Holly Hunter,Jane Campion
Brian De Palma,Carlito's Way,Al Pacino,Edwin Torres
Bill Duke,Sister Act 2: Back in the Habit,Whoopi Goldberg,Paul Rudnick
Marco Brambilla,Demolition Man,Sylvester Stallone,Peter M. Lenkov
Annabel Jankel,Super Mario Bros.,Bob Hoskins,Parker Bennett
David Anspaugh,Rudy,Sean Astin,Angelo Pizzo
Stephen Herek,The Three Musketeers,Charlie Sheen,Alexandre Dumas
Jim Sheridan,En el nombre del padre,Daniel Day-Lewis,Gerry Conlon
Phillip Noyce,Sliver,Sharon Stone,Ira Levin
Frank Marshall,Alive,Ethan Hawke,Piers Paul Read
Martin Scorsese,The Age of Innocence,Daniel Day-Lewis,Edith Wharton
Joseph Ruben,The Good Son,Macaulay Culkin,Ian McEwan
Jon Turteltaub,Cool Runnings,John Candy,Lynn Siefert
Kenneth Branagh,Much Ado About Nothing,Kenneth Branagh,William Shakespeare
David S. Ward,The Program,James Caan,David S. Ward
Rob Cohen,Dragon: The Bruce Lee Story,Jason Scott Lee,Robert Clouse
Albert Hughes,Menace II Society,Tyrin Turner,Allen Hughes
Mike Leigh,Naked,David Thewlis,Mike Leigh
John Woo,Hard Target,Jean-Claude Van Damme,Chuck Pfarrer
Donald Petrie,Grumpy Old Men,Jack Lemmon,Mark Steven Johnson
Nick Castle,Dennis the Menace,Walter Matthau,Hank Ketcham
Ron Maxwell,Gettysburg,Tom Berenger,Michael Shaara
George Sluizer,The Vanishing,Jeff Bridges,Tim KrabbÈ
Penelope Spheeris,The Beverly Hillbillies,Diedrich Bader,Paul Henning
John Dahl,Red Rock West,Nicolas Cage,John Dahl
Michael Caton-Jones,This Boy's Life,Robert De Niro,Tobias Wolff
Thomas Schlamme,So I Married an Axe Murderer,Mike Myers,Robbie Fox
Jeremiah S. Chechik,Benny & Joon,Johnny Depp,Barry Berman
Jennifer Lynch,Boxing Helena,Julian Sands,Philippe Caland
Fraser C. Heston,Needful Things,Max von Sydow,Stephen King
George A. Romero,The Dark Half,Timothy Hutton,Stephen King
Adam Marcus,Jason Goes to Hell: The Final Friday,John D. LeMay,Jay Huguely
Stephen Surjik,Wayne's World 2,Mike Myers,Mike Myers
Alan J. Pakula,The Pelican Brief,Julia Roberts,John Grisham
Brian Gibson,What's Love Got to Do with It,Angela Bassett,Tina Turner
Wolfgang Petersen,In the Line of Fire,Clint Eastwood,Jeff Maguire
Steve Barron,Coneheads,Dan Aykroyd,Tom Davis
Alan Shapiro,The Crush,Cary Elwes,Alan Shapiro
Robert Lieberman,Fire in the Sky,D.B. Sweeney,Travis Walton
Mark Jones,Leprechaun,Warwick Davis,Mark Jones
Clint Eastwood,A Perfect World,Kevin Costner,John Lee Hancock
Robert Altman,Short Cuts,Andie MacDowell,Raymond Carver
James Ivory,The Remains of the Day,Anthony Hopkins,Kazuo Ishiguro
Krzysztof Kieslowski,Three Colors: Blue,Juliette Binoche,Krzysztof Kieslowski
Guillermo del Toro,Cronos,Federico Luppi,Guillermo del Toro
Rob Bowman,Airborne,Shane McDermott,Bill Apablasa
Fred Dekker,RoboCop 3,Nancy Allen,Edward Neumeier
Dominic Sena,Kalifornia,Brad Pitt,Stephen Levy
Jim Abrahams,Hot Shots! Part Deux,Charlie Sheen,Jim Abrahams
John Badham,Point of No Return,Bridget Fonda,Luc Besson
Steve Rash,Son in Law,Pauly Shore,Patrick J. Clifton
Bille August,La casa de los espÌritus,Jeremy Irons,Isabel Allende
Daniel Stern,Rookie of the Year,Thomas Ian Nicholas,Sam Harper
Eric Radomski,Batman: Mask of the Phantasm,Kevin Conroy,Bob Kane
Philip Kaufman,Rising Sun,Sean Connery,Michael Crichton
Mel Gibson,The Man Without a Face,Mel Gibson,Isabelle Holland
Tom Ropelewski,Look Who's Talking Now,John Travolta,Tom Ropelewski
John Singleton,Poetic Justice,Janet Jackson,John Singleton
Luis Llosa,Sniper,Tom Berenger,Michael Frost Beckner
Tom Stern,Freaked,Brooke Shields,Tim Burns
Walter Hill,Geronimo: An American Legend,Jason Patric,John Milius
Emir Kusturica,Arizona Dream,Johnny Depp,David Atkins
Joseph Vilsmaier,Stalingrad,Dominique Horwitz,J¸rgen B¸scher
Harold Becker,Malicia,Alec Baldwin,Aaron Sorkin
Uli Edel,El cuerpo del delito,Madonna,Brad Mirman
Thomas Carter,Swing Kids,Robert Sean Leonard,Jonathan Marc Feldman
Peter Bogdanovich,The Thing Called Love,River Phoenix,Carol Heikkinen
Peter Weir,Fearless,Jeff Bridges,Rafael Yglesias
Ivan Reitman,Dave,Kevin Kline,Gary Ross
Rod Daniel,Beethoven's 2nd,Charles Grodin,John Hughes
Bernardo Bertolucci,Little Buddha,Keanu Reeves,Bernardo Bertolucci
Fred Schepisi,Six Degrees of Separation,Will Smith,John Guare
Oliver Stone,El cielo y la tierra,Hiep Thi Le,Le Ly Hayslip
Stuart Gillard,Teenage Mutant Ninja Turtles III,Elias Koteas,Kevin Eastman
Gene Quintano,Loaded Weapon 1,Emilio Estevez,Don Holley
Tamra Davis,CB4,Chris Rock,Chris Rock
Neal Israel,Surf Ninjas,Ernie Reyes Sr.,Dan Gordon
Abel Ferrara,Body Snatchers,Gabrielle Anwar,Jack Finney
David Cronenberg,M. Butterfly,Jeremy Irons,David Henry Hwang
Phil Nibbelink,We're Back! A Dinosaur's Story,John Goodman,John Patrick Shanley
Steve Kloves,Flesh and Bone,Dennis Quaid,Steve Kloves
Richard Attenborough,Shadowlands,Anthony Hopkins,William Nicholson
Wayne Wang,The Joy Luck Club,Tamlyn Tomita,Amy Tan
Brian Yuzna,Return of the Living Dead III,Kent McCord,John Penney
Stephen Hopkins,Judgment Night,Emilio Estevez,Lewis Colick
Steven Zaillian,Searching for Bobby Fischer,Joe Mantegna,Fred Waitzkin
Nicholas Kazan,Dream Lover,James Spader,Nicholas Kazan
Roger Avary,Killing Zoe,Eric Stoltz,Roger Avary
Rowdy Herrington,Striking Distance,Bruce Willis,Rowdy Herrington
Kaige Chen,Farewell My Concubine,Leslie Cheung,Pik Wah Lee
Robert Harmon,Nowhere to Run,Jean-Claude Van Damme,Joe Eszterhas
Tony Bill,Untamed Heart,Christian Slater,Tom Sierchio
Barry Sonnenfeld,For Love or Money,Michael J. Fox,Mark Rosenthal
Joe Dante,Matinee,John Goodman,Jerico
John Duigan,Sirenas,Hugh Grant,John Duigan
Woody Allen,Manhattan Murder Mystery,Woody Allen,Woody Allen
Ron Underwood,Heart and Souls,Robert Downey Jr.,Gregory Hansen
Andrew Birkin,The Cement Garden,Charlotte Gainsbourg,Andrew Birkin
Richard Benjamin,Made in America,Whoopi Goldberg,Marcia Brandwynne
Jon Amiel,Sommersby,Richard Gere,Daniel Vigne
Peter Medak,Romeo Is Bleeding,Gary Oldman,Hilary Henkin
Stephen Sommers,The Adventures of Huck Finn,Elijah Wood,Mark Twain
Tom Holland,The Temp,Timothy Hutton,Kevin Falls
John McNaughton,Mad Dog and Glory,Robert De Niro,Richard Price
Allison Anders,Mi vida loca,Angel Aviles,Allison Anders
Jean-Marie PoirÈ,Los visitantes,Christian Clavier,Christian Clavier
John Duigan,Wide Sargasso Sea,Karina Lombard,Jan Sharp
Bruce Joel Rubin,My Life,Michael Keaton,Bruce Joel Rubin
Sheldon Lettich,Only the Strong,Mark Dacascos,Sheldon Lettich
Pedro AlmodÛvar,Kika,Peter Coyote,Pedro AlmodÛvar
Bob Balaban,My Boyfriend's Back,Andrew Lowery,Dean Lorey
Gus Van Sant,Even Cowgirls Get the Blues,Uma Thurman,Tom Robbins
Robert Klane,Weekend at Bernie's II,Andrew McCarthy,Robert Klane
Mike Binder,Indian Summer,Alan Arkin,Mike Binder
Carl Reiner,Fatal Instinct,Armand Assante,David O'Malley
Charles Grosvenor,Once Upon a Forest,Michael Crawford,Rae Lambert
James Lapine,Life with Mikey,Michael J. Fox,Marc Lawrence
Herbert Ross,Undercover Blues,Kathleen Turner,Ian Abrams
Richard Williams,The Thief and the Cobbler,Vincent Price,Richard Williams
Robert Townsend,The Meteor Man,Robert Townsend,Robert Townsend
Henry Winkler,Cop & Ω,Burt Reynolds,Arne Olsen
Anthony Hickox,Warlock: The Armageddon,Julian Sands,David Twohy
Steven Soderbergh,King of the Hill,Jesse Bradford,A.E. Hotchner
Michael Gottlieb,Mr. Nanny,Hulk Hogan,Edward Rugoff
Stephen Gyllenhaal,A Dangerous Woman,Debra Winger,Mary McGarry Morris
Woo-Ping Yuen,Iron Monkey,Rongguang Yu,Tan Cheung
Wim Wenders,"Faraway, So Close!",Otto Sander,Wim Wenders
Robert Radler,Best of the Best II,Eric Roberts,Max Strom
Mikael Salomon,A Far Off Place,Reese Witherspoon,Laurens van der Post
Billy Weber,Josh and S.A.M.,Jacob Tierney,Frank Deese
Mike Figgis,Mr. Jones,Richard Gere,Eric Roth
Christopher Coppola,Deadfall,Michael Biehn,Christopher Coppola
Michael Apted,Blink,Madeleine Stowe,Dana Stevens
Ang Lee,The Wedding Banquet,Winston Chao,Ang Lee
Leon Ichaso,Sugar Hill,Wesley Snipes,Barry Michael Cooper
John Lafia,Man's Best Friend,Ally Sheedy,John Lafia
≈ke Sandgren,The Slingshot,Jesper SalÈn,≈ke Sandgren
Mario Van Peebles,Posse,Mario Van Peebles,Sy Richardson
Leslie Megahey,The Advocate,Colin Firth,Leslie Megahey
John Badham,Another Stakeout,Richard Dreyfuss,Jim Kouf
Adam Simon,Carnosaur,Diane Ladd,John Brosnan
Patrick Hasburgh,Aspen Extreme,Paul Gross,Patrick Hasburgh
